weather_id,city_id,date_time,local_time,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,weather_main,weather_description,weather_icon,sunrise,sunset
788,56,2025-06-26 20:13:00,2025-06-27 03:13:00,28.86,33.94,28.29,29.99,1009,78,10000,2.57,120,75,Clouds,broken clouds,04n,2025-06-26 23:02:00,2025-06-27 11:14:00
789,59,2025-06-26 20:13:00,2025-06-26 21:13:00,27.09,27.98,26.55,NaN,1020,57,10000,0.89,245,0,Clear,clear sky,01n,2025-06-26 04:19:00,2025-06-26 19:29:00
790,65,2025-06-26 20:06:00,2025-06-27 05:06:00,8.14,5.42,7.39,8.72,1029,69,10000,4.63,310,75,Clouds,broken clouds,04n,2025-06-26 21:01:00,2025-06-27 06:55:00
791,1,2025-06-26 20:23:00,2025-06-27 04:23:00,25.31,26.06,23.7,25.91,1005,83,10000,1.54,230,75,Clouds,broken clouds,04d,2025-06-26 19:27:00,2025-06-27 10:01:00
792,2,2025-06-26 20:23:00,2025-06-27 00:53:00,31.06,37.76,31.06,31.06,1000,70,4000,5.14,90,20,Haze,haze,50n,2025-06-26 23:55:00,2025-06-27 13:53:00
793,3,2025-06-26 20:23:00,2025-06-27 03:23:00,26.99,NaN,26.99,26.99,1007,83,10000,NaN,190,0,Clear,clear sky,01n,2025-06-26 20:52:00,2025-06-27 11:02:00
794,27,2025-06-26 20:16:00,2025-06-26 21:16:00,24.37,24.51,23.77,25.1,1020,63,10000,4.12,210,0,Clear,clear sky,01n,2025-06-26 03:49:00,2025-06-26 19:58:00
795,30,2025-06-26 20:23:00,2025-06-27 04:23:00,19.86,20.51,19.86,19.86,1009,100,10000,1.03,270,75,Clouds,broken clouds,04d,2025-06-26 20:12:00,2025-06-27 10:57:00
796,33,2025-06-26 20:22:00,2025-06-26 20:22:00,19.51,18.74,18.42,20.59,1016,47,10000,3.13,314,57,Clouds,broken clouds,04n,2025-06-26 03:45:00,2025-06-26 20:22:00
797,44,2025-06-26 20:23:00,2025-06-26 15:23:00,24.06,24.09,22.24,24.96,1018,60,10000,6.17,50,100,Clouds,overcast clouds,04d,2025-06-26 09:26:00,2025-06-27 00:31:00
798,56,2025-06-26 20:23:00,2025-06-27 03:23:00,28.79,33.76,28.29,29.43,1009,78,10000,2.57,120,75,Clouds,broken clouds,04n,2025-06-26 23:02:00,2025-06-27 11:14:00
799,59,2025-06-26 20:20:00,2025-06-26 21:20:00,27.04,27.92,26.05,28.06,1020,57,10000,1.54,230,0,Clear,clear sky,01n,2025-06-26 04:19:00,2025-06-26 19:29:00
800,65,2025-06-26 20:15:00,2025-06-27 05:15:00,8.22,5.52,7.39,8.72,1029,69,10000,4.63,310,75,Clouds,broken clouds,04n,2025-06-26 21:01:00,2025-06-27 06:55:00
801,1,2025-06-26 20:54:00,2025-06-27 04:54:00,25.28,26.03,23.7,25.91,1006,83,10000,1.54,230,75,Clouds,broken clouds,04d,2025-06-26 19:27:00,2025-06-27 10:01:00
802,2,2025-06-26 20:54:00,2025-06-27 01:24:00,31.06,37.76,31.06,31.06,999,70,4000,4.12,80,20,Haze,haze,50n,2025-06-26 23:55:00,2025-06-27 13:53:00
803,3,2025-06-26 20:54:00,2025-06-27 03:54:00,26.99,NaN,26.99,26.99,1006,83,10000,NaN,0,0,Clear,clear sky,01d,2025-06-26 20:52:00,2025-06-27 11:02:00
804,27,2025-06-26 20:45:00,2025-06-26 21:45:00,24.39,24.56,23.73,25.06,1020,64,10000,4.12,210,100,Rain,light rain,10n,2025-06-26 03:49:00,2025-06-26 19:58:00
805,30,2025-06-26 20:51:00,2025-06-27 04:51:00,20.88,21.48,19.86,20.88,1009,94,10000,1.03,170,75,Clouds,broken clouds,04d,2025-06-26 20:12:00,2025-06-27 10:57:00
806,33,2025-06-26 20:54:00,2025-06-26 20:54:00,18.96,18.16,17.58,19.88,1017,48,10000,6.17,270,71,Clouds,broken clouds,04n,2025-06-26 03:45:00,2025-06-26 20:22:00
807,44,2025-06-26 20:54:00,2025-06-26 15:54:00,23.5,23.45,21.69,24.96,1017,59,10000,7.72,60,100,Clouds,overcast clouds,04d,2025-06-26 09:26:00,2025-06-27 00:31:00
808,56,2025-06-26 20:47:00,2025-06-27 03:47:00,28.79,33.76,28.29,29.43,1009,78,10000,2.57,120,75,Clouds,broken clouds,04n,2025-06-26 23:02:00,2025-06-27 11:14:00
809,59,2025-06-26 20:49:00,2025-06-26 21:49:00,26.99,27.79,25.92,27.59,1020,56,10000,4.12,250,0,Clear,clear sky,01n,2025-06-26 04:19:00,2025-06-26 19:29:00
